EllipObject 16733, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 0 : 3.29951e-16
   v 1 : 1.19836e-09
   v 2 : 0
   v 3 : 6.66628e-16
   v 4 : 3.29951e-16
   v 5 : 1.19836e-09
   v 6 : 0
   v 7 : 6.66628e-16
   v 8 : 3.29951e-16
   v 9 : 1.19836e-09
   v 10 : 0
   v 11 : 6.66628e-16
   v 12 : 3.29951e-16
   v 13 : 1.19836e-09
   v 14 : 0
   v 15 : 6.66628e-16
   v 16 : 3.29951e-16
   v 17 : 1.19836e-09
   v 18 : 0
   v 19 : 6.66628e-16
   v 20 : 3.29951e-16
   v 21 : 1.19836e-09
   v 22 : 0
   v 23 : 6.66628e-16
   v 24 : 3.29951e-16
   v 25 : 1.19836e-09
   v 26 : 0
   v 27 : 6.66628e-16
   v 28 : 3.29951e-16
   v 29 : 1.19836e-09
   v 30 : 0
   v 31 : 6.66628e-16
   v 32 : 3.29951e-16
   v 33 : 1.19836e-09
   v 34 : 0
   v 35 : 6.66628e-16
   v 36 : 3.29951e-16
   v 37 : 1.19836e-09
   v 38 : 0
   v 39 : 6.66628e-16
   v 40 : 3.29951e-16
   v 41 : 1.19836e-09
   v 42 : 0
   v 43 : 6.66628e-16
   v 44 : 3.29951e-16
   v 45 : 1.19836e-09
   v 46 : 0
   v 47 : 6.66628e-16
   v 48 : 3.29951e-16
   v 49 : 1.19836e-09
   v 50 : 0
   v 51 : 6.66628e-16
   v 52 : 3.29951e-16
   v 53 : 1.19836e-09
   v 54 : 0
   v 55 : 6.66628e-16
   v 56 : 3.29951e-16
   v 57 : 1.19836e-09
   v 58 : 0
   v 59 : 6.66628e-16
   v 60 : 3.29951e-16
   v 61 : 1.19836e-09
   v 62 : 0
   v 63 : 6.66628e-16
   v 64 : 3.29951e-16
   v 65 : 1.19836e-09
   v 66 : 0
   v 67 : 6.66628e-16
   v 68 : 3.29951e-16
   v 69 : 1.19836e-09
   v 70 : 0
   v 71 : 6.66628e-16
   v 72 : 3.29951e-16
   v 73 : 1.19836e-09
   v 74 : 0
   v 75 : 6.66628e-16
   v 76 : 3.29951e-16
   v 77 : 1.19836e-09
   v 78 : 0
   v 79 : 6.66628e-16
   v 80 : 3.29951e-16
   v 81 : 1.19836e-09
   v 82 : 0
   v 83 : 6.66628e-16
   v 84 : 3.29951e-16
   v 85 : 1.19836e-09
   v 86 : 0
   v 87 : 6.66628e-16
   v 88 : 3.29951e-16
   v 89 : 1.19836e-09
   v 90 : 0
   v 91 : 6.66628e-16
   v 92 : 3.29951e-16
   v 93 : 1.19836e-09
   v 94 : 0
   v 95 : 6.66628e-16
   v 96 : 3.29951e-16
   v 97 : 1.19836e-09
   v 98 : 0
   v 99 : 6.66628e-16
   v 100 : 3.29951e-16
   v 101 : 1.19836e-09
   v 102 : 0
   v 103 : 6.66628e-16
   v 104 : 3.29951e-16
   v 105 : 1.19836e-09
   v 106 : 0
   v 107 : 6.66628e-16
   v 108 : 3.29951e-16
   v 109 : 1.19836e-09
   v 110 : 0
   v 111 : 6.66628e-16
   v 112 : 3.29951e-16
   v 113 : 1.19836e-09
   v 114 : 0
   v 115 : 6.66628e-16
   v 116 : 3.29951e-16
   v 117 : 1.19836e-09
   v 118 : 0
   v 119 : 6.66628e-16
   v 120 : 3.29951e-16
   v 121 : 1.19836e-09
   v 122 : 0
   v 123 : 6.66628e-16
   v 124 : 3.29951e-16
   v 125 : 1.19836e-09
   v 126 : 0
   v 127 : 6.66628e-16
   v 128 : 3.29951e-16
   v 129 : 1.19836e-09
